,price
550,7963
551,16687
552,2599
553,9759
554,1807
555,765
556,6115
557,18127
558,789
559,832
560,9234
561,1122
562,10967
563,1814
564,15105
565,2574
566,13825
567,5273
568,960
569,1081
570,10232
571,699
572,1188
573,816
574,2240
575,7214
576,2285
577,804
578,4467
579,14119
580,507
581,2768
582,485
583,1013
584,789
585,3763
586,2318
587,491
588,1018
589,5405
590,360
591,12998
592,7328
593,7007
594,1983
595,462
596,743
597,5093
598,3046
599,6788
600,525
601,3266
602,4301
603,1040
604,16187
605,3018
606,1245
607,1122
608,6080
609,803
610,1007
611,4872
612,421
613,10428
614,706
615,2589
616,7157
617,1882
618,4916
619,1808
620,13506
621,2264
622,3210
623,4253
624,10523
625,776
626,827
627,12620
628,662
629,17712
630,5879
631,4626
632,4435
633,1690
634,759
635,605
636,7177
637,1161
638,794
639,6321
640,3018
641,1559
642,561
643,5777
644,12416
645,866
646,1988
647,4590
648,1815
649,675
650,6108
651,4368
652,1848
653,11147
654,6350
655,1262
656,945
657,11255
658,5671
659,4751
660,2065
661,1960
662,4672
663,2093
664,7196
665,4229
666,4064
667,4961
668,755
669,827
670,4397
671,18485
672,633
673,3775
674,700
675,6189
676,2423
677,3609
678,8099
679,9442
680,429
681,6000
682,7983
683,13764
684,1693
685,772
686,1214
687,17606
688,6814
689,2770
690,11794
691,15983
692,6532
693,7960
694,2874
695,571
696,4258
697,1146
698,905
699,723
700,700
701,1896
702,7465
703,3837
704,10038
705,2915
706,2012
707,9674
708,1172
709,2984
710,789
711,2876
712,14482
713,4604
714,3236
715,5695
716,4804
717,4755
718,12551
719,3343
720,586
721,1132
722,765
723,3826
724,2552
725,1073
726,2966
727,923
728,961
729,7332
730,11646
731,3098
732,847
733,7821
734,1009
735,5245
736,4144
737,1590
738,2817
739,480
740,2972
741,2655
742,13439
743,4181
744,5078
745,1624
746,1406
747,14294
748,3073
749,842
750,1892
751,872
752,529
753,2609
754,8190
755,3015
756,1128
757,4060
758,743
759,9023
760,5717
761,4847
762,554
763,2757
764,579
765,827
766,1200
767,1838
768,8455
769,2686
770,776
771,12009
772,852
773,2481
774,6087
775,2606
776,3672
777,1400
778,18206
779,1436
780,6762
781,530
782,2819
783,2300
784,540
785,1066
786,687
787,575
788,2406
789,3145
790,13536
791,1115
792,1815
793,422
794,811
795,5456
796,603
797,4381
798,1114
799,1944
800,2264
801,1170
802,505
803,12554
804,5315
805,12927
806,13200
807,11713
808,1026
809,449
810,849
811,5266
812,9802
813,7466
814,828
815,5219
816,7255
817,4463
818,3726
819,1286
820,4455
821,5489
822,2841
823,9505
824,2203
825,2332
826,1914
827,2317
828,8121
829,821
830,672
831,6927
832,1017
833,6861
834,552
835,2761
836,1063
837,3002
838,2218
839,10698
840,2535
841,628
842,984
843,3897
844,1547
845,2473
846,1622
847,2753
848,4011
849,3791
850,16613
851,7424
852,3218
853,10275
854,17168
855,5429
856,6906
857,8820
858,2572
859,918
860,521
861,5163
862,3309
863,862
864,1229
865,1969
866,628
867,10340
868,10133
869,2549
870,3204
871,637
872,4518
873,5375
874,10777
875,1013
876,10912
877,2047
878,3975
879,3510
880,4235
881,3239
882,4733
883,829
884,1289
885,988
886,6600
887,4028
888,17871
889,4200
890,3989
891,776
892,14918
893,985
894,2415
895,1237
896,6432
897,3975
898,552
899,5376
900,1061
901,4849
902,686
903,4434
904,1956
905,1423
906,942
907,9946
908,2109
909,877
910,2858
911,567
912,3024
913,814
914,13338
915,2772
916,4039
917,596
918,11399
919,14502
920,825
921,1021
922,11302
923,1776
924,684
925,1146
926,787
927,7207
928,579
929,13155
930,3114
931,3146
932,2203
933,1359
934,6521
935,15773
936,394
937,2925
938,2559
939,3735
940,802
941,3513
942,3267
943,3643
944,5913
945,12996
946,1401
947,5759
948,776
949,1579
950,5557
951,1649
952,666
953,5869
954,868
955,8181
956,4537
957,2046
958,1131
959,1806
960,4033
961,1639
962,15102
963,4238
964,3045
965,716
966,11886
967,675
968,4956
969,4427
970,10671
971,732
972,8816
973,7544
974,544
975,4072
976,4501
977,698
978,7010
979,3139
980,605
981,956
982,2870
983,2480
984,710
985,3669
986,2292
987,3004
988,1624
989,2333
990,5496
991,1776
992,1676
993,2329
994,13065
995,963
996,2285
997,4092
998,5063
999,3428
1000,4601
1001,1020
1002,1760
1003,15413
1004,3477
1005,4861
1006,2279
1007,758
1008,4689
1009,3713
1010,3763
1011,1746
1012,9979
1013,2405
1014,2401
1015,4356
1016,17416
1017,7147
1018,12036
1019,6239
1020,814
1021,473
1022,693
1023,5748
1024,2270
1025,760
1026,6070
1027,6987
1028,1919
1029,1920
1030,11966
1031,645
1032,3419
1033,5554
1034,786
1035,8452
1036,8868
1037,1090
1038,4150
1039,975
1040,2578
1041,795
1042,548
1043,5376
1044,998
1045,2671
1046,1654
1047,742
1048,605
1049,1781
1050,1202
1051,666
1052,1214
1053,5779
1054,8736
1055,6666
1056,5633
1057,1809
1058,552
1059,3429
1060,1847
1061,9028
1062,2220
1063,554
1064,829
1065,9294
1066,3400
1067,3999
1068,1841
1069,446
1070,4273
1071,4283
1072,611
1073,2251
1074,17403
1075,12152
1076,648
1077,12493
1078,5546
1079,1046
1080,4223
1081,8427
1082,2650
1083,2001
1084,4257
1085,2190
1086,4871
1087,6332
1088,579
1089,1069
1090,614
1091,816
1092,1939
1093,1040
1094,4816
1095,10763
1096,736
1097,5400
1098,4455
1099,3540
1100,1076
1101,4205
1102,1629
1103,413
1104,492
1105,478
1106,1890
1107,772
1108,876
1109,2493
1110,961
1111,4707
1112,1024
1113,3856
1114,7422
1115,4242
1116,5543
1117,649
1118,13398
1119,568
1120,599
1121,6194
1122,1448
1123,4468
1124,3696
1125,4398
1126,748
1127,2790
1128,972
1129,6727
1130,4558
1131,798
1132,524
1133,18259
1134,463
1135,1028
1136,1680
1137,5561
1138,3317
1139,1001
1140,8074
1141,4116
1142,1050
1143,3830
1144,4502
1145,2802
1146,1071
1147,1333
1148,436
1149,2906
1150,8018
1151,4469
1152,608
1153,7163
1154,974
1155,1084
1156,4386
1157,18416
1158,4798
1159,1882
1160,4218
1161,8900
1162,1867
1163,5779
1164,1551
1165,4423
1166,3126
1167,1107
1168,1583
1169,7437
1170,775
1171,1838
1172,14915
1173,1747
1174,709
1175,492
1176,6330
1177,745
1178,713
1179,3577
1180,984
1181,1691
1182,745
1183,853
1184,1640
1185,3089
1186,5724
1187,5611
1188,3640
1189,435
1190,14199
1191,4001
1192,2241
1193,1611
1194,7409
1195,457
1196,830
1197,8685
1198,413
1199,477
1200,6903
1201,6999
1202,2046
1203,635
1204,2293
1205,1811
1206,3898
1207,6762
1208,973
1209,12048
1210,1002
1211,12485
1212,829
1213,713
1214,4123
1215,998
1216,3015
1217,6225
1218,1838
1219,1636
1220,905
1221,4719
1222,863
1223,684
1224,9498
1225,4314
1226,4956
1227,2401
1228,2040
1229,4189
1230,544
1231,7775
1232,3096
1233,6154
1234,1026
1235,6580
1236,838
1237,15185
1238,6722
1239,993
1240,837
1241,2423
1242,4112
1243,906
1244,619
1245,1061
1246,811
1247,631
1248,5148
1249,4586
1250,802
1251,1443
1252,11360
1253,4353
1254,4771
1255,666
1256,1103
1257,838
1258,717
1259,3665
1260,16558
1261,1056
1262,3634
1263,2724
1264,1754
1265,7692
1266,707
1267,1107
1268,672
1269,1926
1270,1015
1271,1591
1272,1087
1273,12531
1274,1099
1275,4166
1276,1064
1277,1427
1278,5352
1279,591
1280,1352
1281,4790
1282,7090
1283,10331
1284,4200
1285,10765
1286,4971
1287,14474
1288,890
1289,4844
1290,1184
1291,7589
1292,9090
1293,4916
1294,2515
1295,814
1296,8663
1297,1933
1298,3882
1299,8911
1300,11262
1301,2803
1302,7409
1303,1235
1304,2407
1305,3001
1306,1706
1307,5483
1308,6246
1309,1953
1310,4443
1311,983
1312,787
1313,3730
1314,872
1315,7972
1316,2960
1317,2540
1318,449
1319,5111
1320,2846
1321,1964
1322,2422
1323,2381
1324,1813
1325,3149
1326,491
1327,1580
1328,490
1329,1661
1330,737
1331,2081
1332,447
1333,2066
1334,1132
1335,2209
1336,5122
1337,5000
1338,6708
1339,693
1340,3135
1341,935
1342,1041
1343,765
1344,540
1345,1116
1346,16287
1347,2234
1348,710
1349,863
1350,7392
1351,2999
1352,990
1353,603
1354,8470
1355,4633
1356,1826
1357,5145
1358,4319
1359,5218
1360,630
1361,4520
1362,4312
1363,2451
1364,752
1365,1107
1366,4955
1367,5840
1368,11400
1369,3694
1370,7809
1371,3208
1372,574
1373,727
1374,4200
1375,8176
1376,15746
1377,876
1378,1746
1379,4757
1380,4791
1381,571
1382,4743
1383,584
1384,7584
1385,1040
1386,4390
1387,1949
1388,3159
1389,12396
1390,1018
1391,605
1392,857
1393,4460
1394,447
1395,4735
1396,3481
1397,9295
1398,4241
1399,1107
1400,631
1401,2873
1402,1550
1403,5116
1404,1076
1405,1151
1406,4133
1407,6046
1408,463
1409,843
1410,2902
1411,421
1412,926
1413,605
1414,675
1415,2583
1416,1586
1417,2153
1418,2184
1419,13725
1420,2329
1421,842
1422,1080
1423,2525
1424,1605
1425,540
1426,5358
1427,681
1428,675
1429,12360
1430,4223
1431,946
1432,4493
1433,8797
1434,11437
1435,5785
1436,6566
1437,2250
1438,995
1439,2479
1440,2055
1441,1919
1442,871
1443,3768
1444,716
1445,462
1446,6588
1447,786
1448,8907
1449,898
1450,4434
1451,18239
1452,4991
1453,3680
1454,3669
1455,5673
1456,825
1457,4155
1458,522
1459,5817
1460,7614
1461,562
1462,1447
1463,442
1464,7055
1465,2177
1466,1419
1467,17051
1468,2166
1469,670
1470,15740
1471,2968
1472,630
1473,3923
1474,4209
1475,1031
1476,4670
1477,746
1478,706
1479,648
1480,5329
1481,3007
1482,612
1483,1590
1484,520
1485,2958
1486,4317
1487,5766
1488,1158
1489,12800
1490,11434
1491,1814
1492,3842
1493,6669
1494,7369
1495,1436
1496,1356
1497,536
1498,1633
1499,1166
1500,3218
1501,1992
1502,1046
1503,2282
1504,4890
1505,1621
1506,666
1507,1087
1508,2729
1509,945
1510,7691
1511,1689
1512,4591
1513,3424
1514,4927
1515,1015
1516,7200
1517,9450
1518,4916
1519,8779
1520,1026
1521,1845
1522,541
1523,2893
1524,4691
1525,2885
1526,6958
1527,7079
1528,1908
1529,7950
1530,544
1531,682
1532,952
1533,1013
1534,1050
1535,8879
1536,3665
1537,1678
1538,1706
1539,7898
1540,743
1541,544
1542,4049
1543,2788
1544,415
1545,1940
1546,2348
1547,1883
1548,920
1549,2077
1550,827
1551,596
1552,810
1553,13917
1554,706
1555,9330
1556,2499
1557,598
1558,8011
1559,2800
1560,12932
1561,2694
1562,537
1563,2168
1564,4490
1565,1080
1566,6405
1567,7051
1568,554
1569,3075
1570,7827
1571,16520
1572,3298
1573,1440
1574,605
1575,2665
1576,18050
1577,11299
1578,9697
1579,16256
1580,532
1581,2570
1582,4274
1583,1338
1584,1076
1585,1160
1586,830
1587,4213
1588,2530
1589,1687
1590,552
1591,1629
1592,596
1593,6250
1594,5005
1595,1623
1596,5759
1597,5819
1598,2030
1599,682
1600,13771
1601,1002
1602,12992
1603,786
1604,1781
1605,2161
1606,4355
1607,11337
1608,10138
1609,979
1610,3615
1611,9645
1612,3793
1613,2000
1614,4884
1615,5078
1616,1920
1617,4943
1618,2079
1619,1963
1620,2153
1621,1227
1622,2999
1623,447
1624,6703
1625,1176
1626,619
1627,12645
1628,17172
1629,709
1630,4844
1631,12261
1632,2863
1633,945
1634,3858
1635,5476
1636,15451
1637,6132
1638,4929
1639,720
1640,12196
1641,7785
1642,3911
1643,2228
1644,4395
1645,1794
1646,2030
1647,605
1648,4603
1649,721
1650,1142
1651,3725
1652,4457
1653,13713
1654,579
1655,8808
1656,2492
1657,3848
1658,998
1659,470
1660,525
1661,936
1662,2001
1663,576
1664,523
1665,10283
1666,3154
1667,5550
1668,1827
1669,576
1670,1549
1671,1821
1672,5677
1673,965
1674,777
1675,556
1676,2839
1677,3611
1678,4269
1679,1556
1680,818
1681,1694
1682,1015
1683,8794
1684,6209
1685,4502
1686,1935
1687,2893
1688,13853
1689,5938
1690,1841
1691,13731
1692,3417
1693,3266
1694,3340
1695,1629
1696,2496
1697,816
1698,3567
1699,1752
1700,9167
1701,2389
1702,3688
1703,505
1704,493
1705,4029
1706,698
1707,1911
1708,647
1709,600
1710,404
1711,685
1712,4092
1713,6600
1714,454
1715,1772
1716,793
1717,5073
1718,13578
1719,12016
1720,439
1721,652
1722,12252
1723,12907
1724,5249
1725,972
1726,6606
1727,6905
1728,1206
1729,942
1730,641
1731,5886
1732,2318
1733,1053
1734,2343
1735,3420
1736,11455
1737,4473
1738,1256
1739,1627
1740,1169
1741,523
1742,3065
1743,1554
1744,807
1745,9604
1746,3116
1747,2032
1748,707
1749,1580
1750,2383
1751,769
1752,5728
1753,3205
1754,673
1755,3323
1756,4776
1757,5247
1758,4541
1759,2167
1760,395
1761,625
1762,4997
1763,2819
1764,4082
1765,602
1766,3975
1767,867
1768,6999
1769,574
1770,2074
1771,1845
1772,844
1773,7118
1774,492
1775,2939
1776,743
1777,11217
1778,689
1779,713
1780,709
1781,6149
1782,499
1783,790
1784,3062
1785,1237
1786,833
1787,876
1788,1804
1789,4628
1790,4155
1791,898
1792,828
1793,2902
1794,2159
1795,5293
1796,8973
1797,1984
1798,1426
1799,776
1800,1918
1801,15282
1802,4258
1803,3595
1804,4995
1805,11826
1806,3446
1807,2560
1808,4578
1809,7286
1810,1966
1811,545
1812,2729
1813,1171
1814,651
1815,3752
1816,10244
1817,1221
1818,496
1819,4770
1820,1904
1821,8361
1822,5975
1823,1424
1824,1237
1825,11153
1826,6261
1827,942
1828,10775
1829,666
1830,14426
1831,5622
1832,1379
1833,1098
1834,1654
1835,805
1836,3742
1837,10225
1838,5214
1839,16717
1840,449
1841,662
1842,2259
1843,2417
1844,1713
1845,765
1846,1109
1847,491
1848,680
1849,11374
1850,9432
1851,1377
1852,853
1853,773
1854,12551
1855,4772
1856,1105
1857,2096
1858,886
1859,4713
1860,11206
1861,1728
1862,1609
1863,5560
1864,760
1865,5147
1866,2104
1867,3207
1868,466
1869,426
1870,453
1871,13553
1872,16778
1873,7244
1874,1073
1875,1235
1876,1153
1877,868
1878,1295
1879,1389
1880,4967
1881,3089
1882,3234
1883,4989
1884,17111
1885,1715
1886,743
1887,5005
1888,452
1889,2258
1890,847
1891,12013
1892,1046
1893,402
1894,698
1895,11078
1896,687
1897,12857
1898,1438
1899,4390
1900,2019
1901,898
1902,5922
1903,675
1904,945
1905,2405
1906,552
1907,567
1908,6114
1909,1101
1910,6760
1911,2175
1912,11128
1913,13122
1914,2390
1915,4466
1916,3944
1917,579
1918,7504
1919,462
1920,3350
1921,756
1922,3579
1923,730
1924,504
1925,5039
1926,373
1927,6153
1928,833
1929,5951
1930,799
1931,5312
1932,673
1933,1402
1934,2674
1935,3597
1936,5731
1937,5940
1938,3360
1939,394
1940,3931
1941,3950
1942,13807
1943,6843
1944,2185
1945,943
1946,13621
1947,3215
1948,4317
1949,575
1950,13721
1951,7847
1952,2141
1953,13681
1954,774
1955,1824
1956,6894
1957,2218
1958,890
1959,2364
1960,1569
1961,5940
1962,10153
1963,16087
1964,504
1965,12392
1966,3344
1967,8242
1968,491
1969,969
1970,5510
1971,7699
1972,2792
1973,8097
1974,419
1975,11985
1976,5814
1977,608
1978,3734
1979,1316
1980,544
1981,730
1982,638
1983,2143
1984,2319
1985,1944
1986,2085
1987,5651
1988,1439
1989,1631
1990,2326
1991,891
1992,6352
1993,11335
1994,3634
1995,8252
1996,6619
1997,5047
1998,1397
1999,1671
2000,10224
2001,794
2002,5387
2003,336
2004,4981
2005,13006
2006,552
2007,1359
2008,3024
2009,3651
2010,11859
2011,1566
2012,10245
2013,4299
2014,2761
2015,628
2016,597
2017,633
2018,4128
2019,9557
2020,946
2021,2229
2022,3190
2023,9625
2024,3888
2025,1822
2026,6458
2027,2370
2028,723
2029,12648
2030,710
2031,3759
2032,1721
2033,2211
2034,11119
2035,1322
2036,14542
2037,8044
2038,8391
2039,2331
2040,11365
2041,8640
2042,7262
2043,635
2044,4132
2045,3888
2046,540
2047,5919
2048,3206
2049,2724
2050,4089
2051,3457
2052,4566
2053,2501
2054,770
2055,11605
2056,4256
2057,5253
2058,912
2059,698
2060,5038
2061,1606
2062,5197
2063,1876
2064,1999
2065,4247
2066,7794
2067,11637
2068,6564
2069,995
2070,898
2071,3898
2072,3848
2073,640
2074,2056
2075,14603
2076,2048
2077,6220
2078,7727
2079,6291
2080,1659
2081,5950
2082,702
2083,11655
2084,516
2085,597
2086,5974
2087,504
2088,3780
2089,8920
2090,1035
2091,805
2092,958
2093,3116
2094,1720
2095,4461
2096,711
2097,7459
2098,4603
2099,5580
2100,732
2101,6279
2102,8877
2103,1546
2104,16316
2105,540
2106,5085
2107,4696
2108,755
2109,1129
2110,3223
2111,883
2112,17235
2113,702
2114,451
2115,768
2116,755
2117,466
2118,17250
2119,5756
2120,473
2121,1846
2122,432
2123,3478
2124,4562
2125,11089
2126,3401
2127,2725
2128,737
2129,15888
2130,589
2131,4416
2132,4117
2133,16750
2134,421
2135,1733
2136,8204
2137,8385
2138,4243
2139,1629
2140,764
2141,491
2142,1068
2143,13737
2144,16073
2145,811
2146,500
2147,13127
2148,1170
2149,2289
2150,863
2151,776
2152,15364
2153,683
2154,17024
2155,5884
2156,3167
2157,1264
2158,15312
2159,1815
2160,1197
2161,2198
2162,11082
2163,8025
2164,709
2165,599
2166,11480
2167,552
2168,1076
2169,2733
2170,4560
2171,1906
2172,906
2173,1343
2174,7792
2175,988
2176,596
2177,1182
2178,13849
2179,9193
2180,3909
2181,2354
2182,1002
2183,775
2184,3327
2185,15282
2186,5963
2187,2029
2188,478
2189,4915
2190,447
2191,574
2192,449
2193,6353
2194,2942
2195,1413
2196,1801
2197,1941
2198,544
2199,1192
2200,5868
2201,669
2202,3084
2203,434
2204,5124
2205,3552
2206,2591
2207,413
2208,13544
2209,1658
2210,8555
2211,5822
2212,2803
2213,7091
2214,7179
2215,1063
2216,1295
2217,1982
2218,1085
2219,1588
2220,462
2221,1568
2222,764
2223,802
2224,586
2225,843
2226,1198
2227,5344
2228,620
2229,18780
2230,7644
2231,11169
2232,2352
2233,1163
2234,1600
2235,5134
2236,1292
2237,932
2238,1773
2239,2116
2240,3924
2241,530
2242,11413
2243,8333
2244,695
2245,3013
2246,16733
2247,4228
2248,3550
2249,4270
2250,10888
2251,1114
2252,982
2253,1259
2254,5311
2255,7204
2256,5191
2257,988
2258,2657
2259,3408
2260,3965
2261,8829
2262,1000
2263,3389
2264,2549
2265,1126
2266,1013
2267,4943
2268,7840
2269,4004
2270,4185
2271,2207
2272,760
2273,3108
2274,3121
2275,4004
2276,2838
2277,4440
2278,1240
2279,1115
2280,5674
2281,5369
2282,2842
2283,5889
2284,914
2285,1726
2286,2496
2287,3502
2288,16693
2289,773
2290,1298
2291,7797
2292,2070
2293,5267
2294,630
2295,432
2296,9450
2297,663
2298,1629
2299,2383
2300,6783
2301,999
2302,10929
2303,636
2304,1326
2305,2400
2306,5292
2307,4319
2308,576
2309,6607
2310,4955
2311,6166
2312,1227
2313,713
2314,6889
2315,7042
2316,13537
2317,754
2318,4672
2319,9177
2320,5454
2321,1156
2322,1013
2323,1245
2324,1035
2325,4675
2326,2143
2327,2562
2328,460
2329,3990
2330,8701
2331,726
2332,550
2333,7209
2334,865
2335,10447
2336,11214
2337,4788
2338,1937
2339,8387
2340,765
2341,4240
2342,5539
2343,2400
2344,7318
2345,3376
2346,2274
2347,8869
2348,2827
2349,421
2350,2430
2351,942
2352,2735
2353,834
2354,818
2355,698
2356,591
2357,12592
2358,3321
2359,16192
2360,827
2361,832
2362,421
2363,2175
2364,7822
2365,1154
2366,9391
2367,12810
2368,4825
2369,4744
2370,987
2371,2878
2372,14652
2373,727
2374,3192
2375,2527
2376,1642
2377,828
2378,1046
2379,878
2380,6499
2381,5484
2382,393
2383,1723
2384,12207
2385,984
2386,10083
2387,9251
2388,605
2389,2041
2390,1245
2391,1935
2392,1071
2393,628
2394,8055
2395,7235
2396,2717
2397,5469
2398,6274
2399,1014
2400,625
2401,2745
2402,9007
2403,473
2404,802
2405,1261
2406,9694
2407,11419
2408,4455
2409,4537
2410,1158
2411,5973
2412,1220
2413,5278
2414,7679
2415,3345
2416,2142
2417,13367
2418,1668
2419,698
2420,8486
2421,720
2422,421
2423,641
2424,5174
2425,720
2426,3674
2427,7508
2428,4435
2429,8393
2430,8355
2431,686
2432,787
2433,6787
2434,882
2435,5759
2436,688
2437,3251
2438,1018
2439,2402
2440,698
2441,11387
2442,1387
2443,8061
2444,3192
2445,505
2446,2860
2447,3075
2448,622
2449,5132
2450,6600
2451,5174
2452,1211
2453,776
2454,3516
2455,1173
2456,9304
2457,675
2458,9681
2459,10138
2460,5206
2461,814
2462,828
2463,775
2464,1879
2465,1414
2466,863
2467,6927
2468,664
2469,1282
2470,1572
2471,868
2472,1311
2473,2099
2474,5666
2475,1279
2476,1051
2477,1668
2478,451
2479,1153
2480,1176
2481,544
2482,9451
2483,2093
2484,11276
2485,1380
2486,941
2487,3977
2488,709
2489,958
2490,2757
2491,3994
2492,756
2493,12844
2494,9555
2495,2738
2496,1817
2497,1392
2498,7495
2499,11303
2500,976
2501,2398
2502,640
2503,1728
2504,727
2505,1153
2506,1245
2507,3007
2508,744
2509,5595
2510,792
2511,8487
2512,698
2513,1981
2514,5822
2515,6713
2516,17723
2517,812
2518,4583
2519,4382
2520,2055
2521,4560
2522,1656
2523,6183
2524,1411
2525,2321
2526,1264
2527,2124
2528,8311
2529,2051
2530,708
2531,4817
2532,1431
2533,2262
2534,698
2535,5082
2536,449
2537,12907
2538,3746
2539,579
2540,2862
2541,14350
2542,789
2543,1624
2544,1046
2545,12285
2546,11132
2547,6653
2548,2750
2549,1815
2550,3217
2551,16817
2552,2161
2553,1153
2554,557
2555,18598
2556,1395
2557,2648
2558,957
2559,5851
2560,526
2561,1995
2562,2386
2563,5551
2564,3827
2565,5534
2566,12495
2567,1777
2568,2396
2569,4385
2570,11416
2571,675
2572,4082
2573,1749
2574,2415
2575,895
2576,693
2577,5218
2578,505
2579,1151
2580,4914
2581,5340
2582,734
2583,9960
2584,2608
2585,708
2586,558
2587,1090
2588,1140
2589,11926
2590,3012
2591,5131
2592,928
2593,1792
2594,1576
2595,924
2596,5988
2597,4989
2598,4751
2599,1077
2600,6382
2601,5666
2602,828
2603,7559
2604,794
2605,2386
2606,3627
2607,1913
2608,907
