,carat,depth,table,x,y,z,color_le,cut_le,clarity_le
92,1.2,63.2,60.0,6.65,6.54,4.17,0,4,3
93,0.52,63.2,58.0,5.12,5.1,3.23,3,4,5
94,1.04,60.7,57.0,6.61,6.51,3.98,3,2,3
95,0.43,63.6,55.0,4.83,4.79,3.06,3,1,2
96,0.92,62.5,55.0,6.21,6.18,3.87,0,3,3
97,0.59,62.8,56.0,5.31,5.36,3.35,2,4,1
98,0.52,61.8,55.0,5.17,5.21,3.21,3,2,4
99,1.2,60.2,57.0,6.88,6.95,4.16,4,4,4
100,0.9,62.1,61.0,6.08,6.12,3.79,5,4,5
101,0.3,63.6,55.0,4.33,4.28,2.74,2,1,2
102,0.5,62.6,56.0,4.99,5.11,3.16,4,4,5
103,1.15,60.8,58.0,6.77,6.74,4.11,3,3,6
104,1.01,61.7,57.0,6.49,6.44,3.99,0,3,3
105,0.27,60.5,57.0,4.19,4.17,2.53,4,2,5
106,1.5,63.0,54.0,7.19,7.26,4.55,1,1,2
107,1.66,62.6,59.0,7.58,7.54,4.73,6,3,7
108,1.88,57.9,59.0,8.16,8.11,4.71,6,1,3
109,0.54,63.2,57.0,5.17,5.21,3.28,5,4,2
110,0.33,62.8,59.0,4.44,4.38,2.77,3,3,6
111,1.5,60.5,59.0,7.39,7.35,4.46,3,3,5
112,0.73,61.7,57.0,5.78,5.81,3.57,3,2,2
113,0.52,61.2,56.0,5.19,5.21,3.18,2,2,6
114,0.24,61.5,61.0,4.02,4.04,2.48,0,4,7
115,1.09,60.6,57.0,6.66,6.67,4.04,1,2,5
116,1.52,62.4,55.0,7.39,7.3,4.58,3,2,6
117,0.58,62.2,55.0,5.4,5.36,3.35,3,2,3
118,0.52,61.6,58.0,5.14,5.22,3.19,0,4,2
119,0.73,62.6,56.0,5.73,5.71,3.58,2,2,4
120,0.71,62.8,56.0,5.69,5.72,3.58,2,4,4
121,0.82,61.4,56.0,6.01,6.05,3.71,4,2,7
122,0.71,60.0,58.0,5.92,5.84,3.53,0,3,7
123,0.74,61.5,56.0,5.79,5.82,3.57,3,2,4
124,1.7,61.3,57.0,7.6,7.67,4.68,3,2,5
125,0.32,62.4,55.0,4.43,4.41,2.76,2,2,5
126,1.01,64.1,60.0,6.3,6.27,4.03,0,1,2
127,1.01,60.9,55.0,6.53,6.57,3.99,4,4,4
128,0.71,62.6,57.0,5.7,5.73,3.58,2,2,4
129,1.23,62.5,59.0,6.84,6.77,4.25,3,3,2
130,0.41,62.0,57.0,4.76,4.73,2.94,2,2,4
131,0.25,61.5,59.0,4.02,4.04,2.48,1,3,7
132,0.72,60.1,64.0,5.83,5.75,3.48,6,1,2
133,1.07,62.0,57.0,6.55,6.58,4.07,4,2,5
134,1.21,69.6,55.0,6.49,6.42,4.49,4,0,2
135,0.4,62.8,59.0,4.71,4.72,2.96,2,4,2
136,0.9,63.4,60.0,6.06,6.09,3.85,2,4,3
137,1.02,62.7,57.0,6.43,6.4,4.02,5,2,3
138,0.71,60.5,59.0,5.78,5.75,3.49,1,3,3
139,1.04,60.9,58.0,6.58,6.52,3.99,3,3,3
140,1.21,60.9,58.0,6.86,6.91,4.19,6,4,5
141,1.21,62.4,59.0,6.82,6.77,4.24,2,2,5
142,0.33,61.1,56.0,4.54,4.5,2.76,0,3,5
143,0.58,63.0,56.0,5.34,5.26,3.34,2,3,3
144,1.0,61.1,58.0,6.43,6.41,3.92,1,1,2
145,0.5,60.9,58.0,5.08,5.1,3.1,3,4,5
146,0.32,62.1,55.0,4.43,4.4,2.74,1,2,5
147,1.01,63.0,57.0,6.34,6.36,4.0,4,4,2
148,0.34,61.4,56.0,4.5,4.53,2.77,0,2,5
149,1.51,59.5,57.0,7.56,7.46,4.47,0,2,2
150,1.01,63.0,61.0,6.36,6.34,4.0,3,3,7
151,1.5,62.8,56.0,7.26,7.33,4.58,2,4,2
152,0.32,62.1,60.0,4.39,4.34,2.71,3,3,5
153,0.62,62.4,57.0,5.44,5.46,3.4,3,2,4
154,1.2,61.4,56.0,6.94,6.83,4.23,1,3,7
155,0.3,61.3,59.0,4.28,4.33,2.64,1,3,6
156,0.41,62.6,59.0,4.77,4.72,2.97,4,3,2
157,0.51,61.9,56.0,5.09,5.14,3.16,2,2,7
158,1.16,62.3,55.0,6.79,6.73,4.21,3,2,1
159,1.01,61.6,60.0,6.51,6.42,3.98,3,3,5
160,0.79,62.4,56.0,5.91,5.94,3.7,4,2,7
161,0.37,61.1,57.0,4.66,4.63,2.84,1,3,5
162,1.07,59.2,61.0,6.67,6.65,3.94,4,3,2
163,0.31,62.2,59.0,4.38,4.34,2.71,4,3,5
164,1.54,62.1,62.0,7.31,7.38,4.56,4,4,5
165,1.27,59.2,58.0,7.07,7.15,4.21,4,4,5
166,1.03,61.8,59.0,6.42,6.47,3.98,1,3,3
167,0.42,62.9,56.0,4.77,4.8,3.01,1,4,3
168,0.52,62.5,57.0,5.15,5.19,3.23,2,2,7
169,0.34,61.6,56.0,4.5,4.53,2.78,2,2,6
170,0.57,62.1,58.0,5.25,5.32,3.28,5,3,6
171,1.18,61.9,55.0,6.8,6.76,4.2,0,2,2
172,0.4,61.7,59.0,4.73,4.76,2.93,0,3,5
173,1.06,62.0,55.0,6.55,6.58,4.07,5,2,4
174,0.8,60.2,54.0,6.04,6.01,3.63,1,1,4
175,0.32,61.8,59.0,4.39,4.35,2.7,1,3,6
176,0.26,62.5,54.0,4.11,4.14,2.58,4,2,7
177,1.74,61.9,58.0,7.73,7.67,4.77,0,3,3
178,0.7,61.6,61.0,5.66,5.61,3.47,0,3,4
179,0.9,63.5,56.0,6.17,6.07,3.88,5,4,3
180,1.63,61.8,58.0,7.49,7.57,4.65,1,4,5
181,0.51,59.4,60.0,5.19,5.21,3.09,2,3,2
182,0.42,59.7,56.0,4.88,4.91,2.92,1,2,6
183,0.41,61.6,54.0,4.78,4.8,2.95,2,2,3
184,0.31,61.3,56.0,4.36,4.38,2.68,5,2,6
185,0.45,62.1,55.0,4.9,4.92,3.05,5,2,4
186,1.07,62.5,57.0,6.58,6.5,4.09,3,3,5
187,0.41,62.2,56.0,4.75,4.8,2.97,3,2,7
188,1.62,61.7,55.0,7.58,7.53,4.66,2,2,4
189,0.33,60.9,55.0,4.46,4.5,2.73,0,2,5
190,0.33,62.1,56.0,4.42,4.4,2.74,3,2,4
191,1.01,60.6,58.0,6.44,6.5,3.92,3,2,5
192,1.04,62.5,60.0,6.46,6.43,4.03,2,3,2
193,0.32,62.3,56.0,4.38,4.41,2.74,1,2,5
194,1.02,62.6,60.0,6.3,6.38,3.97,4,4,3
195,1.01,60.8,59.0,6.52,6.5,3.96,3,2,5
196,1.0,67.1,57.0,6.06,6.1,4.08,2,0,2
197,1.07,61.6,56.0,6.54,6.6,4.05,1,4,3
198,0.32,61.7,60.0,4.4,4.32,2.69,3,3,5
199,0.51,61.7,56.0,5.1,5.14,3.16,3,2,4
200,0.32,62.6,57.0,4.41,4.37,2.75,2,2,5
201,2.15,62.5,57.0,8.2,8.16,5.11,5,2,2
202,0.7,61.7,62.0,5.64,5.68,3.49,1,4,2
203,1.71,62.5,58.0,7.56,7.66,4.76,3,4,5
204,1.22,62.4,57.0,6.75,6.8,4.23,3,4,2
205,0.56,61.6,56.0,5.28,5.31,3.26,2,2,5
206,0.33,60.6,60.0,4.41,4.44,2.68,1,4,2
207,1.7,60.5,58.0,7.73,7.74,4.68,6,2,5
208,0.51,60.7,57.0,5.18,5.23,3.16,0,2,4
209,1.0,60.5,59.0,6.57,6.39,3.92,2,3,5
210,0.4,62.7,59.0,4.74,4.7,2.96,4,2,4
211,0.44,61.1,56.0,4.91,4.94,3.01,1,2,6
212,0.5,65.4,57.0,5.01,4.81,3.21,1,0,5
213,1.0,61.9,62.0,6.36,6.33,3.93,6,3,2
214,1.01,61.3,57.0,6.4,6.35,3.91,2,2,3
215,0.31,63.2,55.0,4.33,4.31,2.73,3,4,3
216,1.13,61.8,57.0,6.71,6.68,4.14,2,2,3
217,1.52,62.8,55.0,7.37,7.28,4.6,2,2,5
218,0.72,61.3,56.0,5.77,5.8,3.55,5,2,7
219,0.32,62.2,59.0,4.35,4.37,2.71,5,3,5
220,1.16,62.5,56.0,6.7,6.8,4.23,0,2,3
221,0.35,57.9,56.0,4.71,4.75,2.74,1,4,1
222,0.31,61.7,55.0,4.36,4.39,2.7,5,2,1
223,2.25,62.4,61.0,8.29,8.35,5.19,6,1,2
224,0.32,62.6,55.0,4.38,4.41,2.75,3,2,2
225,0.35,60.9,57.0,4.58,4.6,2.8,4,2,1
226,1.06,59.6,57.0,6.62,6.67,3.96,1,4,2
227,1.07,62.3,57.0,6.56,6.58,4.09,2,2,7
228,0.4,63.9,57.0,4.65,4.71,2.99,1,1,3
229,0.3,62.3,57.0,4.29,4.32,2.68,1,2,7
230,1.06,61.0,58.0,6.61,6.57,4.02,4,3,2
231,0.3,64.3,56.0,4.22,4.27,2.73,0,1,4
232,0.5,61.4,61.0,5.09,5.14,3.14,2,4,3
233,1.5,60.7,61.0,7.36,7.33,4.46,3,3,3
234,0.35,61.5,55.0,4.53,4.57,2.8,5,2,1
235,2.02,67.5,59.0,7.76,7.65,5.2,6,0,3
236,2.18,61.0,60.0,8.29,8.33,5.07,3,4,3
237,0.8,62.7,57.0,5.88,5.95,3.71,4,4,3
238,0.4,62.2,57.0,4.72,4.67,2.92,2,3,2
239,0.73,62.1,56.0,5.74,5.79,3.58,1,2,3
240,0.92,60.3,56.0,6.32,6.35,3.82,0,2,3
241,1.0,63.1,56.0,6.36,6.4,4.02,0,1,5
242,1.5,62.4,60.0,7.37,7.19,4.54,0,3,0
243,2.01,60.3,60.0,8.07,8.18,4.9,3,1,2
244,0.71,62.8,57.0,5.64,5.69,3.56,2,4,5
245,0.52,63.8,56.0,5.06,5.1,3.24,0,4,2
246,1.0,61.3,54.0,6.39,6.37,3.91,0,3,2
247,0.35,62.4,55.0,4.48,4.52,2.81,0,2,5
248,0.4,61.5,56.0,4.75,4.78,2.93,1,2,6
249,0.35,62.4,55.0,4.53,4.54,2.83,0,2,3
250,0.4,62.1,57.0,4.72,4.75,2.94,3,2,3
251,0.55,60.7,57.0,5.3,5.27,3.21,2,3,2
252,0.92,62.6,57.0,6.22,6.18,3.88,1,2,3
253,1.01,62.6,61.0,6.33,6.29,3.95,4,3,5
254,1.01,62.2,54.0,6.41,6.48,4.01,3,2,7
255,1.19,62.7,56.0,6.76,6.7,4.22,4,3,2
256,0.91,64.9,56.0,6.08,6.05,3.94,2,0,3
257,0.4,61.9,61.0,4.71,4.73,2.92,2,1,6
258,1.1,61.4,59.0,6.71,6.59,4.08,3,3,3
259,1.51,61.5,61.0,7.29,7.34,4.5,4,1,2
260,1.01,62.5,61.0,6.33,6.37,3.97,2,4,3
261,0.8,62.2,58.0,5.92,5.95,3.69,5,2,4
262,1.0,64.2,59.0,6.26,6.3,4.03,2,1,0
263,0.92,62.9,56.0,6.18,6.22,3.9,0,4,2
264,1.01,61.7,62.0,6.3,6.34,3.9,0,1,2
265,1.13,61.2,57.0,6.72,6.65,4.09,3,2,6
266,1.13,60.6,57.0,6.79,6.77,4.11,4,2,3
267,0.31,61.9,56.0,4.39,4.36,2.71,3,2,1
268,0.31,60.4,59.0,4.35,4.43,2.65,2,2,6
269,0.33,60.1,57.0,4.48,4.51,2.7,3,2,7
270,2.01,62.2,57.0,8.04,8.09,5.02,1,2,3
271,0.7,62.1,56.0,5.67,5.65,3.51,2,2,2
272,0.56,62.2,55.0,5.31,5.27,3.29,3,2,4
273,1.02,61.2,58.0,6.47,6.5,3.97,4,3,5
274,0.55,61.3,54.0,5.27,5.33,3.25,2,2,5
275,0.53,62.4,59.0,5.18,5.14,3.22,0,3,5
276,0.7,62.1,64.0,5.62,5.65,3.5,4,1,7
277,0.76,60.1,57.0,5.95,5.99,3.59,2,2,2
278,0.42,61.9,56.0,4.84,4.82,2.99,0,2,2
279,0.53,59.9,57.0,5.25,5.3,3.16,3,2,3
280,0.74,62.2,56.0,5.79,5.81,3.61,0,2,5
281,1.08,62.6,57.0,6.53,6.56,4.1,1,2,2
282,0.61,60.8,56.0,5.51,5.47,3.34,4,2,4
283,1.12,63.7,61.0,6.5,6.54,4.15,6,1,2
284,0.3,60.9,59.0,4.35,4.32,2.64,4,3,3
285,0.53,61.6,56.0,5.24,5.18,3.21,2,2,6
286,0.71,62.8,56.0,5.72,5.75,3.6,3,2,2
287,0.91,63.1,59.0,6.14,6.1,3.86,0,4,2
288,0.29,60.9,57.0,4.32,4.29,2.62,2,2,6
289,1.51,62.4,64.0,7.31,7.23,4.54,6,1,2
290,0.51,62.0,55.0,5.12,5.14,3.18,4,2,3
291,0.92,63.3,57.0,6.17,6.22,3.92,1,1,2
292,0.71,64.3,58.0,5.61,5.55,3.59,2,1,2
293,0.3,62.6,56.0,4.29,4.34,2.7,1,2,5
294,1.7,63.1,57.0,7.53,7.62,4.78,3,4,5
295,0.3,63.3,56.0,4.28,4.31,2.72,3,1,4
296,0.7,67.8,58.0,5.51,5.44,3.71,0,0,3
297,0.4,62.4,57.0,4.73,4.69,2.94,4,2,7
298,1.23,61.7,56.0,6.92,6.88,4.26,4,2,5
299,1.01,62.4,58.0,6.42,6.4,4.0,3,4,5
300,1.35,61.4,57.0,7.1,7.13,4.37,6,2,5
301,0.59,59.1,58.0,5.46,5.5,3.24,2,1,2
302,1.0,66.3,58.0,6.15,6.04,4.04,0,0,2
303,0.72,62.0,56.0,5.74,5.77,3.57,1,2,7
304,0.4,60.5,59.0,4.73,4.76,2.87,4,4,6
305,0.51,60.9,60.0,5.19,5.16,3.15,4,3,5
306,0.54,60.6,57.0,5.25,5.28,3.19,1,2,3
307,0.52,61.6,55.0,5.19,5.24,3.21,4,2,5
308,1.02,61.3,56.0,6.48,6.53,3.99,0,2,2
309,0.5,61.4,61.0,5.03,5.04,3.09,2,1,4
310,0.63,63.3,59.0,5.51,5.31,3.45,3,4,3
311,1.54,65.0,56.0,7.22,7.14,4.67,5,0,3
312,0.41,62.9,56.0,4.72,4.78,2.99,1,4,4
313,0.71,62.3,56.0,5.68,5.72,3.55,3,2,3
314,0.7,61.5,58.0,5.74,5.67,3.51,2,3,3
315,0.91,62.2,58.0,6.17,6.21,3.85,2,3,5
316,0.83,62.0,55.0,6.03,6.06,3.74,5,4,5
317,1.29,62.3,58.0,6.98,7.01,4.36,3,4,4
318,1.62,62.8,59.0,7.4,7.45,4.66,4,4,2
319,2.0,63.6,58.0,7.91,7.98,5.05,2,4,2
320,2.0,61.6,57.0,8.11,8.08,4.99,4,2,5
321,0.43,61.9,56.0,4.82,4.84,2.99,2,2,7
322,0.51,62.3,60.0,5.1,5.07,3.17,2,3,5
323,0.33,62.7,56.0,4.39,4.45,2.77,1,4,2
324,0.26,58.0,58.0,4.2,4.25,2.45,2,1,4
325,1.53,60.1,58.0,7.6,7.57,4.71,4,3,5
326,1.01,61.3,54.0,6.47,6.52,3.99,0,2,3
327,0.53,61.8,56.0,5.21,5.17,3.21,1,2,5
328,1.0,61.1,57.0,6.36,6.51,3.93,2,4,6
329,0.7,61.1,57.0,5.7,5.75,3.5,0,4,7
330,1.02,61.9,58.0,6.45,6.5,4.01,2,3,4
331,0.72,61.2,57.0,5.72,5.81,3.53,3,2,7
332,0.27,61.2,54.0,4.2,4.23,2.58,4,2,4
333,0.3,61.1,55.0,4.36,4.38,2.67,2,2,6
334,0.72,61.9,55.0,5.76,5.78,3.57,1,2,3
335,0.5,62.6,60.0,5.03,5.0,3.14,1,3,5
336,1.01,60.0,59.0,6.48,6.61,3.93,2,4,3
337,2.12,61.4,57.0,8.28,8.24,5.07,4,2,3
338,0.75,62.9,57.0,5.75,5.8,3.63,4,2,2
339,1.5,66.6,54.0,7.05,7.01,4.68,4,0,0
340,1.58,61.9,55.0,7.47,7.51,4.64,5,2,6
341,1.53,61.9,57.0,7.39,7.32,4.55,3,4,4
342,2.02,59.8,59.9,8.16,8.21,4.9,6,4,2
343,0.55,62.3,56.0,5.22,5.27,3.27,4,2,4
344,0.31,60.8,61.0,4.33,4.35,2.64,3,4,4
345,0.51,60.7,56.0,5.16,5.2,3.15,4,4,4
346,1.66,62.6,59.0,7.53,7.57,4.73,2,2,3
347,0.6,61.9,55.0,5.4,5.42,3.35,2,2,4
348,0.76,61.7,56.0,5.84,5.87,3.61,0,2,4
349,1.49,62.6,53.6,7.28,7.31,4.57,2,4,0
350,0.7,61.3,56.0,5.74,5.71,3.51,2,2,5
351,1.26,61.8,58.0,6.88,6.91,4.26,6,4,2
352,0.5,62.7,54.0,5.07,5.1,3.19,1,4,5
353,1.07,61.2,60.0,6.53,6.57,4.01,4,3,3
354,2.23,61.2,58.0,8.43,8.36,5.14,5,3,5
355,0.43,61.9,54.0,4.83,4.87,3.0,0,2,6
356,0.52,61.6,59.0,5.16,5.14,3.17,1,3,5
357,1.44,63.6,58.0,7.01,6.96,4.44,3,1,4
358,1.24,61.8,57.0,6.92,6.86,4.26,6,2,2
359,0.72,61.5,58.0,5.78,5.79,3.56,5,2,7
360,1.01,63.5,58.0,6.39,6.34,4.04,3,4,3
361,1.02,60.9,58.0,6.53,6.41,3.94,4,3,3
362,0.71,57.8,60.0,5.87,5.9,3.4,2,1,5
363,1.6,61.4,57.0,7.59,7.53,4.64,4,2,4
364,0.33,61.7,59.0,4.43,4.45,2.74,4,4,1
365,2.01,63.8,57.0,7.95,7.91,5.06,5,1,2
366,1.13,55.9,67.0,7.05,6.94,3.9,5,0,5
367,0.32,61.7,56.0,4.4,4.42,2.72,3,2,6
368,0.31,61.7,54.6,4.38,4.39,2.71,5,2,4
369,0.31,61.3,54.0,4.38,4.4,2.69,3,2,1
370,0.41,62.4,58.0,4.76,4.72,2.96,3,3,5
371,1.51,63.2,56.0,7.26,7.32,4.61,1,1,3
372,1.07,61.9,58.0,6.57,6.53,4.05,0,3,2
373,0.55,61.5,54.0,5.3,5.33,3.27,4,2,2
374,0.5,61.4,61.0,5.14,5.03,3.12,4,3,1
375,0.5,60.9,59.0,5.14,5.11,3.12,3,3,4
376,1.06,60.8,58.0,6.59,6.54,3.99,1,3,2
377,0.54,61.9,55.0,5.24,5.2,3.23,1,2,5
378,0.5,62.2,58.0,5.03,5.06,3.14,1,3,4
379,0.63,62.1,56.0,5.49,5.52,3.42,1,2,5
380,1.03,61.3,61.0,6.49,6.46,3.97,0,3,3
381,0.32,61.1,55.0,4.45,4.42,2.71,3,2,7
382,0.7,63.5,61.0,5.61,5.64,3.57,3,1,2
383,0.54,61.2,55.0,5.25,5.31,3.23,4,2,4
384,1.01,62.4,58.0,6.41,6.38,3.99,0,3,4
385,0.91,62.6,56.0,6.27,6.3,3.81,3,2,2
386,0.71,60.6,56.0,5.78,5.81,3.51,0,2,2
387,2.0,67.9,55.0,7.67,7.58,5.18,4,0,3
388,1.12,62.3,53.0,6.64,6.7,4.16,4,2,7
389,0.76,60.8,57.0,5.89,5.85,3.57,1,3,3
390,0.7,62.1,55.0,5.71,5.75,3.56,1,2,5
391,1.06,64.5,57.0,6.47,6.33,4.13,5,0,0
392,0.3,62.2,59.0,4.28,4.31,2.67,3,3,4
393,0.51,61.5,59.0,5.07,5.14,3.14,0,4,3
394,2.06,58.7,61.0,8.33,8.31,4.88,2,3,0
395,0.54,61.5,56.0,5.22,5.25,3.22,4,2,4
396,1.63,62.4,57.0,7.59,7.52,4.71,4,2,3
397,0.8,62.5,58.0,5.9,5.94,3.7,3,3,4
398,1.23,59.6,60.0,6.99,6.94,4.15,3,3,4
399,0.74,60.4,56.0,5.86,5.83,3.53,2,2,2
400,1.1,59.1,60.0,6.77,6.7,3.98,1,3,3
401,1.36,62.7,58.0,7.01,7.08,4.42,5,3,3
402,1.01,62.4,59.0,6.38,6.35,3.97,1,3,2
403,1.24,63.6,56.0,6.75,6.8,4.31,2,4,7
404,1.2,60.8,60.0,6.9,6.85,4.18,4,3,2
405,0.5,62.2,54.4,5.07,5.11,3.16,0,2,4
406,1.15,61.3,56.0,6.74,6.76,4.14,5,2,4
407,0.41,61.9,56.0,4.75,4.78,2.95,4,2,4
408,0.3,63.1,58.0,4.24,4.28,2.69,3,1,4
409,0.52,62.2,54.0,5.14,5.18,3.21,0,2,2
410,0.71,62.4,55.0,5.69,5.76,3.57,5,2,6
411,0.31,60.0,62.0,4.4,4.44,2.65,3,4,7
412,0.6,58.8,60.7,5.52,5.55,3.25,2,1,5
413,0.73,62.3,56.0,5.72,5.78,3.58,3,2,1
414,0.34,61.7,56.0,4.48,4.46,2.76,0,2,6
415,0.71,57.9,62.0,5.82,5.86,3.38,4,1,2
416,0.7,61.6,57.0,5.69,5.74,3.52,0,2,2
417,1.23,62.4,57.0,6.88,6.83,4.28,3,2,5
418,0.91,59.2,62.0,6.2,6.14,3.65,4,3,4
419,0.35,61.3,55.0,4.55,4.58,2.8,4,4,2
420,1.51,59.1,60.0,7.52,7.45,4.42,2,3,5
421,1.11,62.3,56.0,6.59,6.64,4.12,0,2,7
422,1.01,62.4,56.0,6.42,6.39,4.0,3,2,5
423,0.82,61.2,58.0,5.99,6.04,3.68,6,3,2
424,2.14,62.3,58.0,8.28,8.22,5.14,4,3,2
425,1.0,63.3,60.0,6.29,6.37,4.01,3,1,5
426,0.5,61.6,58.0,5.08,5.11,3.14,1,4,3
427,0.51,63.0,53.0,5.1,5.13,3.22,3,4,2
428,2.11,60.3,61.0,8.29,8.22,4.98,5,2,5
429,0.54,61.2,55.0,5.25,5.27,3.22,2,2,7
430,0.3,63.9,56.0,4.24,4.27,2.72,4,1,3
431,0.41,61.6,58.0,4.75,4.79,2.94,2,4,1
432,0.98,68.0,63.0,6.13,6.02,4.13,3,0,0
433,0.56,62.8,57.0,5.25,5.29,3.31,0,4,5
434,0.43,63.4,55.0,4.82,4.86,3.07,4,4,5
